What are the popular tourist attractions near the hotel?,CULTURE
Where can I buy some souvenirs?,CULTURE
What is the famous attraction nearby?,CULTURE
Please recommend me some attractions.,CULTURE
Is that tourist attraction within walking distance?,CULTURE
Where can I buy some local specialties.,CULTURE
Do you have a sightseeing brochure for this town?,CULTURE
Where is the tourist information office?,CULTURE
Do you have a five days land tour recently?,CULTURE
Recommend me some good sightseeing to visit.,CULTURE
Where is the place to enjoy a nice view?,CULTURE
Are there recommended beautiful scenery or landmarks?,CULTURE
Is there national park near the hotel?,CULTURE
Are there cultural tourist attaractions near here?,CULTURE
What are the popular tourist destinations?,CULTURE
Are there beautiful spots around here?,CULTURE
Is there any temple nearby?,CULTURE
Plz recommend me some local religious heritages.,CULTURE
Tell me some spot to experience the local culture.,CULTURE
Cultural spot.,CULTURE
history heritage.,CULTURE
Where an I visit ?,CULTURE
What’s the famous tourist spot here?,CULTURE
I want to take a walk tomorrow morning.,CULTURE
I want to see people's tradition here.,CULTURE
Tradition.,CULTURE
ancestor,CULTURE
Where can I grab some food?,FOOD
Are there recommended restaurant near the hotel?,FOOD
I'd like to have some local food.,FOOD
Show me the list of steakhouse nearby.,FOOD
Where can I buy some fruit?,FOOD
Please tell me the best Chinese restaurant nearby.,FOOD
"I want to have some BBQ, where should I go?",FOOD
I'd like a restaurant with cheerful atmosphere.,FOOD
I want a restaurant with reasonable prices.,FOOD
Do you know of any restaurants open now?,FOOD
Where is the nearest Italian restaurant??,FOOD
Is there a Chinese restaurant around here?,FOOD
Where is the main area for restaurants?,FOOD
I want to get something to eat.,FOOD
Is there any popular restaurant near the hotel?,FOOD
Where can I find McDonald or KFC?,FOOD
I want to buy some snack.,FOOD
I'm really hungry now.,FOOD
Are there recommended delicacies?,FOOD
Is there any delicacy?,FOOD
What are the famous dishes here?,FOOD
Where can I grab some food?,FOOD
What's recommended for dinner?,FOOD
Are there recommended cuisine?,FOOD
Can you recommend some restaurants for lunch?,FOOD
Are there restaurants for brunch?,FOOD
I am so hungry!,FOOD
Give me food.,FOOD
Please recommend some special cuisine.,FOOD
I would like to have some fried chicken,FOOD
I want to eat pizza.,FOOD
I want to eat sushi,FOOD
I would like to eat some beef noodle?,FOOD
food.,FOOD
plz tell me the nearest indian restaurant.,FOOD
Inform me the restaurant nearby.,FOOD
Give me some food.,FOOD
how is the food in town?,FOOD
take me to the nearest restaurant.,FOOD
I would like some Taiwan cuisine.,FOOD
Give me something to eat.,FOOD
Where is the foooood!,FOOD
Can you tell me where is the nearest MRT station?,Lifeinfo
MRT station.,Lifeinfo
Where is the subway?,Lifeinfo
How can I get to the nearest MRT system?,Lifeinfo
I want to go to MRT station.,Lifeinfo
Where is the closest MRT station?,Lifeinfo
"show me the police station, would you?",Lifeinfo
I would like to go to the police station.,Lifeinfo
where can I reach to the police officer?,Lifeinfo
"I found somebody try to hurt me, help me.",Lifeinfo
I need immediately protection.,Lifeinfo
I seek for justice department nearby,Lifeinfo
How can I reach out for help?,Lifeinfo
"I want to shop, any suggestion?",Lifeinfo
convenience store,Lifeinfo
convenient store,Lifeinfo
How can I find the shopping mall nearby?,Lifeinfo
Could you show me the convenience store?,Lifeinfo
I would like to spend some cash.,Lifeinfo
I want to buy something late at night.,Lifeinfo
Where can I find 7-11 or familymart?,Lifeinfo
"I am hurt, where is the nearest hospital?",Lifeinfo
I need medical attention now.,Lifeinfo
"I am dying, help me.",Lifeinfo
"Someone is hurt, how can I find the hospital?",Lifeinfo
"Emergency situation, call an ambulance.",Lifeinfo
"I am sick, found me a clinic.",Lifeinfo
I am severely uncomfortable.,Lifeinfo
"Help me, I neee help.",Lifeinfo
I may have caught a cold.,Lifeinfo
Show me the gas station.,Lifeinfo
I have to refuel.,Lifeinfo
Where is the Servo?,Lifeinfo
Fill the petrol to full tank.,Lifeinfo
I need to add up my tank.,Lifeinfo
Petrol station.,Lifeinfo
